工件/min,工序0,工序1,工序2,工序3
0,"45,48,50","35,35,30","30,35","25,26"
1,"45,48,50","35,35,30","30,35","25,26"
2,"45,48,50","35,35,30","30,35","25,26"
3,"45,48,50","35,35,30","30,35","25,26"
4,"45,48,50","35,35,30","30,35","25,26"
5,"45,48,50","35,35,30","30,35","25,26"
6,"45,48,50","35,35,30","30,35","25,26"
7,"45,48,50","35,35,30","30,35","25,26"
8,"45,48,50","35,35,30","30,35","25,26"
9,"45,48,50","35,35,30","30,35","25,26"
10,"45,48,50","35,35,30","30,35","25,26"
11,"45,48,50","35,35,30","30,35","25,26"
